Best | F1=0.4478 precision=0.4592 recall=0.4370 accuracy=0.7877 threshold=0.9700 thresholds_tested=101
Avg  | F1=0.2541 precision=0.1588 recall=0.8567 accuracy=0.3324 thresholds_tested=101
Runtime : 4210.71 sec
Avg CPU : 158.4%
Peak RAM: 1338.2 MB

RAM samples (10s intervals):
  t=3000.5s  1336.8 MB
  t=3010.5s  1336.8 MB
  t=3020.5s  1336.8 MB
  t=3030.5s  1336.8 MB
  t=3040.5s  1336.8 MB
  t=3050.5s  1336.8 MB
  t=3060.5s  1336.8 MB
  t=3070.5s  1336.8 MB
  t=3080.5s  1336.8 MB
  t=3090.5s  1336.8 MB
  t=3100.5s  1336.8 MB
  t=3110.5s  1336.8 MB
  t=3120.5s  1336.8 MB
  t=3130.5s  1336.8 MB
  t=3140.5s  1336.8 MB
  t=3150.5s  1336.8 MB
  t=3160.5s  1336.8 MB
  t=3170.5s  1336.8 MB
  t=3180.5s  1336.8 MB
  t=3190.5s  1336.8 MB
  t=3200.5s  1336.8 MB
  t=3210.5s  1336.8 MB
  t=3220.5s  1336.8 MB
  t=3230.5s  1336.8 MB
  t=3240.5s  1336.8 MB
  t=3250.6s  1336.8 MB
  t=3260.6s  1336.8 MB
  t=3270.6s  1336.8 MB
  t=3280.6s  1336.8 MB
  t=3290.6s  1336.8 MB
  t=3300.6s  1337.1 MB
  t=3310.6s  1337.1 MB
  t=3320.6s  1337.1 MB
  t=3330.6s  1337.1 MB
  t=3340.6s  1337.1 MB
  t=3350.6s  1337.1 MB
  t=3360.6s  1337.1 MB
  t=3370.6s  1337.1 MB
  t=3380.6s  1337.1 MB
  t=3390.6s  1337.1 MB
  t=3400.6s  1337.1 MB
  t=3410.6s  1337.1 MB
  t=3420.6s  1337.1 MB
  t=3430.6s  1337.1 MB
  t=3440.6s  1337.1 MB
  t=3450.6s  1337.1 MB
  t=3460.6s  1337.1 MB
  t=3470.6s  1337.1 MB
  t=3480.6s  1337.1 MB
  t=3490.6s  1337.1 MB
  t=3500.6s  1337.1 MB
  t=3510.6s  1337.1 MB
  t=3520.6s  1337.1 MB
  t=3530.6s  1337.1 MB
  t=3540.6s  1337.1 MB
  t=3550.6s  1337.1 MB
  t=3560.6s  1337.1 MB
  t=3570.6s  1337.1 MB
  t=3580.6s  1337.1 MB
  t=3590.6s  1337.1 MB
  t=3600.6s  1337.1 MB
  t=3610.6s  1337.1 MB
  t=3620.6s  1337.1 MB
  t=3630.6s  1337.1 MB
  t=3640.6s  1337.1 MB
  t=3650.6s  1337.1 MB
  t=3660.6s  1337.1 MB
  t=3670.6s  1337.1 MB
  t=3680.6s  1337.1 MB
  t=3690.6s  1337.1 MB
  t=3700.6s  1337.1 MB
  t=3710.6s  1337.1 MB
