Best | F1=0.3269 precision=0.2155 recall=0.6766 accuracy=0.6626 threshold=0.7800 thresholds_tested=101
Avg  | F1=0.2416 precision=0.1506 recall=0.7832 accuracy=0.4252 thresholds_tested=101
Runtime : 3830.59 sec
Avg CPU : 142.3%
Peak RAM: 398.5 MB

RAM samples (10s intervals):
  t=3630.5s  393.2 MB
  t=3640.5s  393.2 MB
  t=3650.5s  393.2 MB
  t=3660.5s  393.2 MB
  t=3670.5s  393.2 MB
  t=3680.5s  393.2 MB
  t=3690.5s  393.2 MB
  t=3700.5s  393.2 MB
  t=3710.5s  393.2 MB
  t=3720.5s  393.2 MB
  t=3730.5s  393.2 MB
  t=3740.6s  393.2 MB
  t=3750.6s  393.2 MB
  t=3760.6s  393.2 MB
  t=3770.6s  393.2 MB
  t=3780.6s  393.2 MB
  t=3790.6s  393.2 MB
  t=3800.6s  393.2 MB
  t=3810.6s  393.2 MB
  t=3820.6s  398.4 MB
